vehiculo_label,modelo,promedio_calificacion,n_resenas
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz C-Class C 300 4MATIC,5.0,5.0,1
Mercedes-Benz GLE 450 AWD 4MATIC,5.0,5.0,1
Mercedes-Benz GLE 450 AWD 4MATIC,5.0,5.0,1
Mercedes-Benz E-Class E 350,5.0,5.0,1
Mercedes-Benz GLE 450 AWD 4MATIC,5.0,5.0,1
Mercedes-Benz EQS 450+ Base,5.0,5.0,1
Mercedes-Benz AMG GLA 45 Base,5.0,5.0,1
Mercedes-Benz C-Class C 300 4MATIC,5.0,5.0,1
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz AMG SL 63 SL 63 AMG 4MATIC,5.0,5.0,1
Mercedes-Benz S-Class S 500 4MATIC,5.0,5.0,1
Mercedes-Benz E-Class E 350,5.0,5.0,1
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz GLC 300 Base,5.0,5.0,1
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz AMG GLE 53 Base,5.0,5.0,1
Mercedes-Benz Sprinter 2500 144 WB,5.0,5.0,1
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz AMG GT 53 Base,5.0,5.0,1
Mercedes-Benz AMG SL 63 Base,5.0,5.0,1
Mercedes-Benz E-Class E 450,5.0,5.0,1
Mercedes-Benz GLC 300 Base 4MATIC,5.0,5.0,1
Mercedes-Benz GLC 300 Base,5.0,5.0,1
Mercedes-Benz S-Class S 500 4MATIC,5.0,5.0,1
Mercedes-Benz S-Class S 500 4MATIC,5.0,5.0,1
Mercedes-Benz GLE 450 AWD 4MATIC,5.0,5.0,1
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz GLS 450 4MATIC,5.0,5.0,1
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz AMG GLA 45 Base,5.0,5.0,1
Mercedes-Benz Sprinter 2500 High Roof,5.0,5.0,1
Mercedes-Benz GLB 250 Base 4MATIC,5.0,5.0,1
Mercedes-Benz GLC 300 Base,5.0,5.0,1
Mercedes-Benz GLE 450 AWD 4MATIC,5.0,5.0,1
Mercedes-Benz AMG E 53 Base 4MATIC,5.0,5.0,1
Mercedes-Benz E-Class E 350,5.0,5.0,1
Mercedes-Benz GLS 450 4MATIC,5.0,5.0,1
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz GLC 300 Base,5.0,5.0,1
Mercedes-Benz EQE 350 Base 4MATIC,5.0,5.0,1
Mercedes-Benz GLE 350 Base 4MATIC,5.0,5.0,1
Mercedes-Benz Sprinter 3500 High Roof,5.0,5.0,1
Mercedes-Benz S-Class S 500 4MATIC,5.0,5.0,1
Mercedes-Benz E-Class E 350 4MATIC,5.0,5.0,1
Mercedes-Benz GLE 450 AWD 4MATIC,5.0,5.0,1
Mercedes-Benz C-Class C 300 4MATIC,5.0,5.0,1
Mercedes-Benz AMG GT 53 Base,5.0,5.0,1
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz E-Class E 350,5.0,5.0,1
Mercedes-Benz GLC 300 Base 4MATIC,5.0,5.0,1
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz E-Class E 350,5.0,5.0,1
Mercedes-Benz GLS 450 4MATIC,5.0,5.0,1
Mercedes-Benz S-Class S 500 4MATIC,5.0,5.0,1
Mercedes-Benz GLE 450 AWD 4MATIC,5.0,5.0,1
Mercedes-Benz GLE 450 AWD 4MATIC,5.0,5.0,1
Mercedes-Benz EQS 580 Base 4MATIC,5.0,5.0,1
Mercedes-Benz GLC 300 Base,5.0,5.0,1
Mercedes-Benz E-Class E 350 4MATIC,5.0,5.0,1
Mercedes-Benz E-Class E 450,5.0,5.0,2
Mercedes-Benz E-Class E 450,5.0,5.0,2
Mercedes-Benz GLE 350 Base 4MATIC,5.0,5.0,1
Mercedes-Benz EQS 450+ EQS 450+,5.0,5.0,1
Mercedes-Benz EQS 450 Base 4MATIC,5.0,5.0,1
Mercedes-Benz E-Class E 350,5.0,5.0,1
Mercedes-Benz S-Class S 500 4MATIC,5.0,5.0,1
Mercedes-Benz Sprinter 2500 High Roof,5.0,5.0,1
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz EQS 450+ EQS 450+,5.0,5.0,1
Porsche 718 Cayman Base,5.0,5.0,1
Porsche 718 Cayman S,5.0,5.0,1
Porsche Cayenne,5.0,5.0,1
Porsche Taycan Cross Turismo 4,5.0,5.0,1
Porsche Cayman GTS,5.0,5.0,1
Porsche 928 S,5.0,5.0,1
Porsche Panamera Sport Turismo 4S,5.0,5.0,1
Porsche 911 Carrera S,5.0,5.0,1
Porsche Panamera 4S,5.0,5.0,1
Porsche 911 Turbo,5.0,5.0,1
Porsche Cayenne Base,5.0,5.0,1
Porsche Macan GTS,5.0,5.0,1
Porsche Macan S,5.0,5.0,1
Porsche Taycan 4S,5.0,5.0,1
Porsche Cayenne Base,5.0,5.0,1
Porsche Cayenne GTS,5.0,5.0,1
Porsche Macan Base,5.0,5.0,1
Porsche Panamera GTS,5.0,5.0,1
Porsche Panamera Base,5.0,5.0,1
Porsche 911 Turbo S,5.0,5.0,1
Porsche 911 Carrera,5.0,5.0,1
Porsche Cayenne E-Hybrid Coupe Turbo S,5.0,5.0,1
Porsche Panamera GTS,5.0,5.0,1
Porsche Cayenne Base,5.0,5.0,1
Porsche 911 Carrera S,5.0,5.0,1
Porsche Boxster S,5.0,5.0,1
Porsche Cayenne S,5.0,5.0,1
Porsche 911 Targa 4,5.0,5.0,1
Porsche 718 Boxster S,5.0,5.0,1
Porsche Macan GTS,5.0,5.0,1
Porsche Macan Base,5.0,5.0,1
Porsche Cayenne Turbo,5.0,5.0,1
Porsche Cayenne Base,5.0,5.0,1
Porsche Boxster S,5.0,5.0,1
Porsche 911 Carrera,5.0,5.0,1
Porsche Boxster Base,5.0,5.0,1
Porsche Taycan 4S,5.0,5.0,1
Porsche Macan Base,5.0,5.0,1
Porsche Cayman S,5.0,5.0,1
Porsche 911 Carrera 4S,5.0,5.0,1
Porsche Taycan Turbo,5.0,5.0,1
Porsche 911 Carrera,5.0,5.0,1
Porsche Cayenne Base,5.0,5.0,1
Porsche 911 Carrera,5.0,5.0,1
Porsche Cayenne Base,5.0,5.0,1
Porsche Macan Base,5.0,5.0,1
Porsche Cayenne Turbo S,5.0,5.0,1
Porsche 914,5.0,5.0,1
Porsche Macan Base,5.0,5.0,1
Porsche 911 GT3 RS,5.0,5.0,1
Porsche Cayman Base,5.0,5.0,1
Porsche Macan S,5.0,5.0,1
Porsche 718 Boxster Base,5.0,5.0,1
Porsche Macan GTS,5.0,5.0,1
Porsche Cayenne E-Hybrid Turbo S,5.0,5.0,1
Porsche Macan Base,5.0,5.0,1
Porsche 911 Carrera Cabriolet,5.0,5.0,1
Porsche Cayman GT4,5.0,5.0,1
Porsche Macan Sport Edition,5.0,5.0,1
Porsche Cayenne Platinum Edition,5.0,5.0,1
Porsche 911 Carrera S,5.0,5.0,1
Porsche Cayenne S,5.0,5.0,1
Porsche 911 Turbo S,5.0,5.0,1
Porsche Boxster Base (M5),5.0,5.0,1
Porsche Cayenne S,5.0,5.0,1
Porsche 911 Carrera,5.0,5.0,1
Porsche Boxster Base,5.0,5.0,1
Porsche Boxster,5.0,5.0,1
Porsche Macan,5.0,5.0,1
Porsche 911 GT3 RS,5.0,5.0,1
Porsche Macan,5.0,5.0,1
Porsche 911 GT3,5.0,5.0,1
Porsche Macan Base,5.0,5.0,1
Porsche Macan,5.0,5.0,1
Porsche 911 Targa 4 GTS,5.0,5.0,1
Porsche 718 Cayman GT4,5.0,5.0,1
Porsche Macan Base,5.0,5.0,1
Porsche Panamera E-Hybrid 4,5.0,5.0,1
Porsche Macan,5.0,5.0,1
Porsche Panamera E-Hybrid S,5.0,5.0,1
Porsche 911 Carrera 4S,5.0,5.0,1
Porsche Cayenne,5.0,5.0,1
Porsche Macan Base,5.0,5.0,1
Porsche Cayenne Base,5.0,5.0,1
Tesla Model S Plaid,5.0,5.0,1
Tesla Model S Long Range,5.0,5.0,1
Tesla Model 3 Performance,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model 3 Performance,5.0,5.0,1
Tesla Model X Long Range Plus,5.0,5.0,1
Tesla Model S Base,5.0,5.0,1
Tesla Model 3 Standard Range Plus,5.0,5.0,1
Tesla Model X 100D,5.0,5.0,1
Tesla Model Y Performance,5.0,5.0,1
Tesla Model S 75D,5.0,5.0,1
Tesla Model 3 Standard Range Plus,5.0,5.0,1
Tesla Model Y Standard Range,5.0,5.0,1
Tesla Model 3 Performance,5.0,5.0,1
Tesla Model S Long Range,5.0,5.0,1
Tesla Model S Plaid,5.0,5.0,1
Tesla Model S Base,5.0,5.0,1
Tesla Model S 100D,5.0,5.0,1
Tesla Model X 100D,5.0,5.0,1
Tesla Model X P100D,5.0,5.0,1
Tesla Model X 90D,5.0,5.0,1
Tesla Model S P85D,5.0,5.0,1
Tesla Model S 70,5.0,5.0,1
Tesla Model S Long Range,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model Y Long Range,5.0,5.0,1
Tesla Model S Long Range,5.0,5.0,1
Tesla Model 3 Performance,5.0,5.0,1
Tesla Model S Long Range,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model X 90D,5.0,5.0,2
Tesla Model X 90D,5.0,5.0,2
Tesla Model S Plaid,5.0,5.0,1
Tesla Model 3 Standard,5.0,5.0,1
Tesla Model X Long Range,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model 3 Performance,5.0,5.0,1
Tesla Model S Plaid,5.0,5.0,1
Tesla Model X 75D,5.0,5.0,1
Tesla Model S Long Range,5.0,5.0,1
Tesla Model 3 Standard Range Plus,5.0,5.0,1
Tesla Model S 75D,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model 3 Standard Range,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model 3 Mid Range,5.0,5.0,1
Tesla Model S Long Range,5.0,5.0,1
Tesla Model X P90D,5.0,5.0,1
Tesla Model 3 Standard Range Plus,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model 3 Standard Range Plus,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model Y Long Range,5.0,5.0,1
Tesla Model S P85D,5.0,5.0,1
Tesla Model 3 Performance,5.0,5.0,1
Tesla Model 3 Mid Range,5.0,5.0,1
Tesla Model 3 Base,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model 3 Standard Range Plus,5.0,5.0,1
Tesla Model S Base,5.0,5.0,1
Tesla Model 3 Standard,5.0,5.0,1
Tesla Model S 75D,5.0,5.0,1
Tesla Model S P100D,5.0,5.0,1
Tesla Model 3 Performance,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model X 100D,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model 3 Performance,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model X 75D,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Tesla Model Y Long Range,5.0,5.0,1
Tesla Model S 70D,5.0,5.0,1
Tesla Model S Standard Range,5.0,5.0,1
Tesla Model X Performance,5.0,5.0,1
Tesla Model 3 Performance,5.0,5.0,1
Tesla Model 3 Long Range,5.0,5.0,1
Toyota Venza Limited,5.0,5.0,1
Toyota Sequoia TRD Pro,5.0,5.0,1
Toyota RAV4 Hybrid XLE Premium,5.0,5.0,1
Toyota Highlander Limited,5.0,5.0,1
Toyota Tundra SR5,5.0,5.0,1
Toyota GR86 Premium,5.0,5.0,1
Toyota Highlander L,5.0,5.0,1
Toyota Tacoma TRD Sport,5.0,5.0,1
Toyota Highlander XLE,5.0,5.0,2
Toyota Highlander XLE,5.0,5.0,2
Toyota Land Cruiser,5.0,5.0,1
Toyota Corolla LE,5.0,5.0,1
Toyota Tundra SR5,5.0,5.0,1
Toyota Highlander LE,5.0,5.0,1
Toyota Highlander Hybrid XLE,5.0,5.0,1
Toyota Highlander XLE,5.0,5.0,1
Toyota Highlander Limited,5.0,5.0,1
Toyota Tacoma SR5,5.0,5.0,1
Toyota Tacoma,5.0,5.0,1
Toyota Tundra SR5,5.0,5.0,1
Toyota Camry Solara SLE V6,5.0,5.0,1
Toyota Tacoma SR,5.0,5.0,1
Toyota 4Runner Limited,5.0,5.0,1
Toyota RAV4 Hybrid XLE,5.0,5.0,1
Toyota 4Runner TRD Pro,5.0,5.0,1
Toyota Tacoma TRD Sport,5.0,5.0,1
Toyota Camry Hybrid XLE,5.0,5.0,1
Toyota Corolla LE,5.0,5.0,1
Toyota 4Runner TRD Off Road,5.0,5.0,1
Toyota Tundra Platinum,5.0,5.0,1
Toyota Tundra SR5,5.0,5.0,1
Toyota Corolla Cross LE,5.0,5.0,1
Toyota Sienna LE,5.0,5.0,1
Toyota Corolla Cross LE,5.0,5.0,1
Toyota Camry LE,5.0,5.0,1
Toyota Highlander XSE,5.0,5.0,1
Toyota Highlander XLE,5.0,5.0,1
Toyota Highlander LE I4,5.0,5.0,1
Toyota Sequoia SR5,5.0,5.0,1
Toyota Tacoma TRD Off Road,5.0,5.0,1
Toyota Highlander L,5.0,5.0,1
Toyota Tundra SR5,5.0,5.0,1
Toyota Prius c Three,5.0,5.0,1
Toyota Highlander Hybrid Limited,5.0,5.0,1
Toyota 4Runner SR5 Premium,5.0,5.0,1
Toyota Sequoia Limited,5.0,5.0,1
Toyota Highlander LE,5.0,5.0,1
Toyota Corolla SE,5.0,5.0,1
Toyota Tacoma SR,5.0,5.0,1
Toyota RAV4 Hybrid XLE,5.0,5.0,1
Toyota Tundra Limited,5.0,5.0,1
Toyota Tacoma SR5,5.0,5.0,1
Toyota Corolla LE,5.0,5.0,1
Volkswagen ID.4 Pro S,5.0,5.0,1
Volkswagen Atlas 3.6L SE w/Technology,5.0,5.0,1
Volkswagen Atlas 2.0T SE w/Technology,5.0,5.0,1
Volkswagen ID.4 Pro S,5.0,5.0,1
Volkswagen Atlas 3.6 V6 SE w/ Technology R-Line,5.0,5.0,1
Volkswagen Golf R 2.0T w/DCC & Navigation,5.0,5.0,1
Volkswagen Atlas 2.0T SE,5.0,5.0,1
Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,5.0,5.0,1
Volkswagen Taos 1.5T SEL,5.0,5.0,1
Volkswagen Touareg V6 Lux,5.0,5.0,1
Volkswagen Golf GTI 2.0T SE,5.0,5.0,1
Volkswagen Atlas 3.6L SEL,5.0,5.0,1
Volkswagen Passat 2.0T R-Line,5.0,5.0,1
Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology R-Line,5.0,5.0,1
Volkswagen Beetle 2.5L,5.0,5.0,1
Volkswagen Tiguan 2.0T SEL,5.0,5.0,1
Volkswagen Atlas 3.6L SEL Premium,5.0,5.0,1
Volkswagen Arteon 2.0T SE,5.0,5.0,1
Volkswagen Passat 2.0T Limited Edition,5.0,5.0,2
Volkswagen Passat 2.0T Limited Edition,5.0,5.0,2
Volkswagen Tiguan 2.0T S,5.0,5.0,1
Volkswagen Atlas 3.6L SEL,5.0,5.0,1
Volkswagen Atlas 3.6L SE w/Technology,5.0,5.0,1
Volkswagen Atlas 2.0T SE,5.0,5.0,1
Volkswagen Tiguan 2.0T SEL Premium,5.0,5.0,1
Volkswagen GTI Drivers Edition,5.0,5.0,1
Volkswagen Taos 1.5T SEL,5.0,5.0,1
Volkswagen ID.4 Pro S,5.0,5.0,1
Volkswagen Atlas 3.6L SE w/Technology,5.0,5.0,1
Volkswagen Atlas Cross Sport 2.0T SE w/Technology,5.0,5.0,1
Volkswagen Arteon 2.0T SE R-Line,5.0,5.0,1
Volkswagen Arteon 2.0T SEL R-Line,5.0,5.0,1
Volkswagen ID.4 Pro S,5.0,5.0,1
Volkswagen Eurovan WESTFALIA WEEKENDER,5.0,5.0,1
Volkswagen Golf TSI S 2-Door,5.0,5.0,1
Volkswagen Passat 2.0 TDI SEL Premium,5.0,5.0,1
Volkswagen Tiguan 2.0T SEL,5.0,5.0,1
Volkswagen Tiguan 2.0T SE R-Line Black,5.0,5.0,1
Volkswagen Tiguan Limited 2.0T,5.0,5.0,1
Volkswagen Atlas 3.6 V6 SE R-Line,5.0,5.0,1
Volkswagen Golf GTI 2.0T S 4-Door,5.0,5.0,1
Volkswagen Tiguan S,5.0,5.0,1
Volkswagen Golf GTI 2.0T Autobahn,5.0,5.0,1
Volkswagen Atlas 3.6L SEL,5.0,5.0,1
Volkswagen Atlas 3.6 V6 SEL R-Line Black,5.0,5.0,1
Volkswagen Beetle 1.8T Dune,5.0,5.0,1
Volkswagen Jetta 1.4T S,5.0,5.0,1
Volkswagen Jetta 1.5T S,5.0,5.0,1
Volkswagen Jetta 1.4T S,5.0,5.0,1
Volkswagen Tiguan Limited 2.0T,5.0,5.0,1
Volkswagen Atlas Cross Sport 2.0T SEL R-Line Black,5.0,5.0,1
Volkswagen Golf Alltrack TSI S,5.0,5.0,1
Volkswagen Atlas Cross Sport 2.0T SEL R-Line Black,5.0,5.0,1
Volkswagen Golf GTI 2.0T SE,5.0,5.0,1
Volkswagen Atlas Cross Sport 3.6 V6 SEL R-Line Black,5.0,5.0,1
Volkswagen Atlas Cross Sport 2.0T SEL R-Line Black,5.0,5.0,1
Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,5.0,5.0,1
Volkswagen ID.4 Pro,5.0,5.0,1
Volkswagen Tiguan 2.0T SE,5.0,5.0,1
Volkswagen Atlas 3.6L SE w/Technology,5.0,5.0,1
Volkswagen Jetta 1.4T S,5.0,5.0,1
Volkswagen Tiguan 2.0T S,5.0,5.0,1
Volkswagen Arteon 2.0T SE,5.0,5.0,1
Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium R-Line,5.0,5.0,1
Volkswagen Jetta 1.4T S,5.0,5.0,1
Volkswagen Passat 1.8T Auto SE PZEV,5.0,5.0,1
Volkswagen Atlas 2.0T SE w/Technology,5.0,5.0,1
Volkswagen Jetta 1.4T SE,5.0,5.0,1
Volkswagen Taos 1.5T SE,5.0,5.0,1
Volkswagen Jetta 1.5T S,5.0,5.0,1
Volkswagen Jetta 1.4T SE,5.0,5.0,1
Volkswagen Jetta 1.4T SE,5.0,5.0,1
Volkswagen Jetta 1.4T R-Line,5.0,5.0,1
Acura RDX w/A-Spec Advance Package,4.5,4.5,2
Acura RDX w/A-Spec Advance Package,4.5,4.5,2
Chevrolet Trailblazer ACTIV,4.5,4.5,2
Chevrolet Trailblazer ACTIV,4.5,4.5,2
Chevrolet Trailblazer RS,4.5,4.5,2
Chevrolet Trailblazer RS,4.5,4.5,2
Dodge Durango GT,4.5,4.5,2
Dodge Durango GT,4.5,4.5,2
Mercedes-Benz S-Class S 500 4MATIC,4.5,4.5,2
Mercedes-Benz S-Class S 500 4MATIC,4.5,4.5,2
Mercedes-Benz Sprinter 2500 High Roof,4.5,4.5,2
Mercedes-Benz Sprinter 2500 High Roof,4.5,4.5,2
Mercedes-Benz GLE 350 Base,4.5,4.5,2
Mercedes-Benz GLE 350 Base,4.5,4.5,2
Acura MDX Technology,4.0,4.0,1
Acura MDX 3.5L Advance Pkg w/Entertainment Pkg,4.0,4.0,1
Acura ILX Premium & A-SPEC Packages,4.0,4.0,1
Acura Integra w/A-Spec Package,4.0,4.0,1
Acura RLX Technology Package,4.0,4.0,1
Acura MDX A-Spec,4.0,4.0,1
Acura MDX Advance,4.0,4.0,1
Acura MDX 3.5L,4.0,4.0,1
Acura TLX V6,4.0,4.0,1
Acura MDX 3.5L Technology Package,4.0,4.0,1
Acura TLX V6 A-Spec,4.0,4.0,1
Acura TLX V6 Technology & A-Spec,4.0,4.0,1
Acura TLX Technology,4.0,4.0,1
Acura MDX 3.5L Technology Package,4.0,4.0,1
Acura RDX A-Spec,4.0,4.0,1
Acura MDX A-Spec,4.0,4.0,1
Acura RLX Technology Package,4.0,4.0,1
Acura MDX w/Tech/AcuraWatch Plus,4.0,4.0,1
Acura TLX Base,4.0,4.0,1
Acura MDX 3.5L,4.0,4.0,1
Acura TSX 2.4,4.0,4.0,1
Acura RDX Technology Package,4.0,4.0,1
Acura MDX 3.5L w/Technology Package,4.0,4.0,1
Acura RDX Base,4.0,4.0,1
Acura MDX 3.7L Technology,4.0,4.0,1
Acura RDX A-Spec,4.0,4.0,1
Acura TLX Tech,4.0,4.0,1
Acura Integra A-Spec Technology,4.0,4.0,1
Acura ILX,4.0,4.0,1
Acura MDX A-Spec,4.0,4.0,1
Acura TLX A-Spec,4.0,4.0,1
Acura MDX 3.5L w/Advance Package,4.0,4.0,1
Acura MDX Sport,4.0,4.0,1
Acura MDX 3.5L,4.0,4.0,1
Acura MDX Touring,4.0,4.0,1
Acura MDX 3.5L w/Technology Package,4.0,4.0,1
Acura RDX Advance Package,4.0,4.0,1
Acura RDX Advance Package,4.0,4.0,1
Acura RDX Advance Package,4.0,4.0,1
Acura MDX Technology,4.0,4.0,1
Acura RDX A-Spec,4.0,4.0,1
Acura MDX 3.5L w/Technology Package,4.0,4.0,1
Acura TL 3.5,4.0,4.0,1
Acura ILX 4DR SDN,4.0,4.0,1
Acura RDX Technology Package,4.0,4.0,1
Acura TLX V6,4.0,4.0,1
Acura MDX Advance,4.0,4.0,1
Acura MDX 3.7L Advance,4.0,4.0,1
Acura TSX Tech Pkg,4.0,4.0,1
Acura MDX Advance,4.0,4.0,1
Acura MDX Technology,4.0,4.0,1
Acura MDX 3.5L Technology Package,4.0,4.0,1
Acura MDX,4.0,4.0,1
Acura MDX 3.5L w/Advance Package,4.0,4.0,1
Acura MDX 3.5L Technology Package,4.0,4.0,1
BMW X5 PHEV xDrive45e,4.0,4.0,1
BMW M4 CSL,4.0,4.0,1
BMW X7,4.0,4.0,1
BMW M8 Competition Gran Coupe,4.0,4.0,1
BMW i4 Gran Coupe eDrive40,4.0,4.0,1
BMW M5 Base,4.0,4.0,1
BMW 430 Gran Coupe i,4.0,4.0,1
BMW X7 xDrive40i,4.0,4.0,1
BMW X5 M50i,4.0,4.0,1
BMW iX xDrive50,4.0,4.0,1
BMW 228 Gran Coupe i xDrive,4.0,4.0,1
BMW X5 M50i,4.0,4.0,1
BMW X5 sDrive40i,4.0,4.0,1
BMW X4 M40i,4.0,4.0,1
BMW M8 Gran Coupe Gran Coupe,4.0,4.0,1
BMW X5 PHEV xDrive45e,4.0,4.0,1
BMW 328 Gran Turismo i xDrive,4.0,4.0,1
BMW X4 xDrive 28i,4.0,4.0,1
BMW X5 xDrive35i,4.0,4.0,1
BMW M4 Competition xDrive,4.0,4.0,1
BMW M440 i,4.0,4.0,2
BMW M440 i,4.0,4.0,2
BMW 228 Gran Coupe 228I XDRIVE,4.0,4.0,1
BMW X3 xDrive30i,4.0,4.0,1
BMW 540 i xDrive,4.0,4.0,1
BMW X1 xDrive28i,4.0,4.0,1
BMW 750 i xDrive,4.0,4.0,1
BMW 228 Gran Coupe i xDrive,4.0,4.0,1
BMW X3 M,4.0,4.0,1
BMW M550 i xDrive,4.0,4.0,1
BMW 530e 530e,4.0,4.0,1
BMW M4 Competition xDrive,4.0,4.0,1
BMW 535 i,4.0,4.0,1
BMW X1 sDrive28i,4.0,4.0,1
BMW ALPINA B7 xDrive,4.0,4.0,1
BMW X5 sDrive40i,4.0,4.0,1
BMW M5 Base,4.0,4.0,1
BMW iX M60,4.0,4.0,1
BMW Z4 sDrive35i,4.0,4.0,1
BMW X5 PHEV xDrive45e,4.0,4.0,1
BMW 740 i,4.0,4.0,1
BMW 550 i,4.0,4.0,1
BMW 535 i xDrive,4.0,4.0,1
BMW X5 sDrive35i,4.0,4.0,1
BMW 430 i,4.0,4.0,1
BMW X3 M AWD,4.0,4.0,1
BMW X5 xDrive40i,4.0,4.0,1
BMW X6 M50i,4.0,4.0,1
BMW 335 i xDrive,4.0,4.0,1
BMW 740 i,4.0,4.0,1
BMW X6 sDrive40i,4.0,4.0,1
BMW 330 Gran Turismo i xDrive,4.0,4.0,1
BMW X4 xDrive28i,4.0,4.0,1
BMW X7 xDrive40i,4.0,4.0,1
BMW 430 Gran Coupe i,4.0,4.0,1
BMW 330 i xDrive,4.0,4.0,1
BMW X2 xDrive28i,4.0,4.0,1
BMW 528 i,4.0,4.0,1
BMW 540 i xDrive,4.0,4.0,1
BMW X2 sDrive28i,4.0,4.0,1
BMW M8 Competition,4.0,4.0,1
BMW 328 i xDrive,4.0,4.0,1
BMW M8 Competition,4.0,4.0,1
BMW X6 sDrive40i,4.0,4.0,1
BMW M8 Base,4.0,4.0,1
BMW X6 M50i,4.0,4.0,1
BMW 640 i,4.0,4.0,1
BMW iX xDrive50,4.0,4.0,1
BMW X1 sDrive28i,4.0,4.0,1
BMW 320 i,4.0,4.0,1
BMW M3 Base,4.0,4.0,1
BMW 530e xDrive iPerformance,4.0,4.0,1
BMW M4 Base,4.0,4.0,1
BMW 428 i xDrive,4.0,4.0,1
BMW 330 i xDrive,4.0,4.0,1
BMW 430 i xDrive,4.0,4.0,1
BMW X3 xDrive30i,4.0,4.0,1
BMW X6 xDrive35i,4.0,4.0,1
BMW X3 M AWD,4.0,4.0,1
BMW X4 xDrive30i,4.0,4.0,1
BMW M2 Competition,4.0,4.0,1
BMW X5 xDrive40i,4.0,4.0,1
Chevrolet Trailblazer ACTIV,4.0,4.0,1
Chevrolet Camaro LT1,4.0,4.0,1
Chevrolet Trailblazer LT,4.0,4.0,1
Chevrolet Silverado 1500 Custom,4.0,4.0,1
Chevrolet Silverado 1500 ZR2,4.0,4.0,1
Chevrolet Tahoe LS,4.0,4.0,1
Chevrolet Silverado 3500 LTZ,4.0,4.0,1
Chevrolet Silverado 1500 LTZ,4.0,4.0,1
Chevrolet Tahoe Z71,4.0,4.0,1
Chevrolet Bolt EUV LT,4.0,4.0,1
Chevrolet Tahoe Z71,4.0,4.0,1
Chevrolet Camaro LT1,4.0,4.0,1
Chevrolet Colorado WT,4.0,4.0,1
Chevrolet Tahoe Z71,4.0,4.0,1
Chevrolet Cruze LS,4.0,4.0,1
Chevrolet Suburban LS,4.0,4.0,1
Chevrolet Silverado 3500 High Country,4.0,4.0,1
Chevrolet Tahoe LS,4.0,4.0,1
Chevrolet Tahoe LS,4.0,4.0,1
Chevrolet Silverado 2500 LTZ,4.0,4.0,1
Chevrolet Trax LT,4.0,4.0,1
Chevrolet Corvette,4.0,4.0,1
Chevrolet Colorado LT,4.0,4.0,2
Chevrolet Colorado LT,4.0,4.0,2
Chevrolet Tahoe LS,4.0,4.0,1
Chevrolet Tahoe LT,4.0,4.0,1
Chevrolet Suburban LS,4.0,4.0,1
Chevrolet Silverado 3500 High Country,4.0,4.0,1
Chevrolet Silverado 2500 LTZ,4.0,4.0,1
Chevrolet Bolt EUV LT,4.0,4.0,1
Chevrolet Traverse LS,4.0,4.0,1
Chevrolet Blazer RS,4.0,4.0,1
Chevrolet Tahoe LS,4.0,4.0,1
Chevrolet Equinox Premier,4.0,4.0,1
Chevrolet Silverado 1500 Custom,4.0,4.0,2
Chevrolet Silverado 1500 Custom,4.0,4.0,2
Chevrolet Silverado 2500 LT,4.0,4.0,1
Chevrolet Suburban RST,4.0,4.0,1
Chevrolet Silverado 1500 LTZ,4.0,4.0,1
Chevrolet Suburban LT,4.0,4.0,1
Chevrolet Camaro 2SS,4.0,4.0,1
